id_type,type
679,GALLETONES
680,TAGATOSA
681,CAFÉ ESPRESSO
682,CAFÉ GRANO ENTERO
683,CAFÉ INSTANTÁNEO LIOFILIZADO ORGÁNICO
684,CUCHUFLÍS
685,TURRONES
686,TORTAS CONGELADAS
687,SEMILLAS DE ZAPALLO
688,CAFÉ GRANO MOLIDO DESCAFEINADO
689,MASTICABLES
690,TÉ BLANCO
691,TÉ ROJO
692,MACARRONES
693,CHOCOLATE BLANCO
694,CREMA DE AVELLANAS
695,TÉ SURTIDO
696,AZÚCAR DORADA
697,CEREAL DE ARROZ
698,CEREAL AVENA
699,GALLETAS SURTIDAS
700,GALLETAS Y SNACKS
701,TÉ MATCHA
702,PASTA AVE MAYO
703,CAFÉ CON LECHE
704,TRUFAS
705,STRUDEL
706,GALLETAS SALVADO
707,CREMA DE POSTRE
708,CAFETERAS DE FILTRO
709,CHOCOLATES EN BARRA
710,INFUSORES
711,CEPILLOS Y PEINETAS
712,REPUESTOS MÁQUINAS DE AFEITAR
713,ESPONJAS Y GUANTES BAÑO
714,REPUESTOS
715,GUANTES
716,QUITADUREZAS
717,APLICADORES Y ESPONJAS
718,SHAMPOO MATIZADOR
719,SHAMPOO EN SECO
720,SET HIGIENE
721,PINZAS
722,GORROS
723,BASES DE MAQUILLAJE
724,PASTA DENTAL INFANTIL
725,ENCRESPADORES PESTAÑAS
726,TERMO MULTIPROPÓSITO
727,LIMPIADORES DE LENGUA
728,MANTAS ELÉCTRICAS
729,CINTILLOS-PINCHES-COLETS
730,AUTOBRONCEANTES
731,BLOQUEADORES
732,SALES DE BAÑO
733,ESPEJOS
734,TIJERAS
735,SEDA DENTAL
736,ESTUCHES DE REGALO
737,COSMETIQUEROS
738,BROCHAS
739,BOTELLAS DE AGUA
740,CERVEZAS ARTESANALES
741,LICORES
742,ESPUMANTES
743,VINOS TINTOS
744,PISCO
745,VINOS BLANCOS
746,CÓCTELES SOUR
747,CÓCTELES ICE
748,WHISKY
749,VODKA
750,VINOS ROSÉ
751,GIN
752,TEQUILA
753,RON
754,LATE HARVEST
755,CÓCTELES COLADOS
756,CÓCTELES FRUTALES
757,COMPLEMENTOS PARA PREPARAR
758,CREMAS DE LICORES
759,CERVEZAS
760,QUESO RALLADO
761,QUESO RANCO
762,PAN CIABATTA
763,COLIZAS
764,TORTA HOJARASCA
765,TRUCHA
766,TILAPIA
767,OSTRAS
768,CONGRIO DORADO
769,ALMEJAS
770,MACHAS
771,SURTIDO DE MARISCOS
772,CARPACCIO DE ATÚN
773,JAIBA
774,JIBIA
775,PIURE
776,LOCOS
777,LOIN DE SALMÓN
778,ERIZOS
779,OSTIONES
780,PULPO
781,CORVINA
782,LANGOSTINOS
783,PINZAS DE JAIBA
784,CHUPE DE MERLUZA
785,LASAÑAS
786,DELICATESES DEL MAR
787,FETUCCINI
788,SALSAS BLANCAS Y ESPECIALES
789,SALSA DE QUESO
790,FOCACCIAS
791,PASCUALINA CHAMPIÑÓN
792,RAVIOLES
793,SOPAS PREPARADAS
794,PASCUALINA ESPINACA
795,PIZZA CAMARÓN
796,PASCUALINA POLLO
797,PASCUALINA CARNE
798,PASCUALINA SALMÓN
799,PAPAS RELLENAS
800,LASAÑA CREMA ESPINACA
801,ENSALADA MIXTA
802,TABLA DE QUESOS
803,SÁNDWICH CLUB
804,PIZZA CHAMPIÑÓN
805,QUICHE MIXTO
806,PIZZA KASSLER
807,CARNE MONGOLIANA
808,PASCUALINA JAMÓN
809,CARNE MECHADA
810,PASTAS INSTANTÁNEAS
811,SUSPIRO LIMEÑO
812,TABLA CÓCTEL MIXTA
813,PASTEL DE CHOCLO
814,SÁNDWICH AVE PIMENTÓN
815,GUATITAS A LA JARDINERA
816,PANINIS
817,GOHAN
818,BOLITAS DE CARNE
819,TRIFLES
820,SOPAS INSTANTÁNEAS
821,CARNE BRASEADA
822,KUBBE
823,CERDO EN SALSA
824,SUSPIRO MARACUYÁ
825,BOMBILLAS
826,HARINA DE AVENA
827,PLATOS DESECHABLES
828,PAN MINI BAGUETTE
829,MEZCLAS Y PRE MEZCLAS
830,LECHE DE CABRA
831,DÁTILES
832,AGUAS DE COCO
833,LIMPIADORES PARA PISO
834,BEBIDAS VEGETALES
835,CUCHILLOS
836,TOSTADAS Y TOSTADITAS
837,PAN DE LENTEJAS
838,SAL ROSADA
839,PAN DE ARROZ
840,DETERGENTE LAVAVAJILLAS
841,HARINA DE LINAZA
842,LUSTRAMUEBLES
843,AVELLANA
844,ACCESORIOS COCINA
845,LIBROS
846,TURRONES - TURRONES
847,SHAMPOO Y ACONDICIONADORES
848,CUBIERTOS DE MESA
849,AZÚCAR DE COCO
850,CHÍA
851,SUPERALIMENTOS
852,FORROS DE CORTINA
853,PAPEL MANTEQUILLA
854,JARROS Y FILTROS AGUA
855,LIMPIAPIÉS
856,RECIPIENTES Y HERMÉTICOS
857,PAPEL PARA HORNEAR
858,CUBIERTOS DESECHABLES
859,TOALLAS DE BAÑO
860,CANASTOS
861,BROCHETAS
862,GLOBOS
863,TOSTADORES
864,ALMOHADAS SINTÉTICAS
865,BOWLS Y ENSALADERAS
866,FUNDAS
867,UTENSILIOS DE COCINA
868,BOLSAS DE REGALO
869,COPAS
870,BOTELLAS
871,ALMOHADAS VISCOELÁSTICAS
872,GUIRNALDAS
873,PAPEL DE REGALO
874,COTILLÓN
875,MANTELES
876,SET DE REGALOS
877,BANDEJAS - TABLAS Y FUENTES
878,JARROS Y VASOS
879,COJINES DECORATIVOS
880,JUEGOS DE LOZA
881,BLOCK DE DIBUJO
882,JUEGOS DE SÁBANAS
883,INDIVIDUALES Y POSAVASOS
884,PISOS DE BAÑO
885,QUILTS
886,BOLSAS
887,FLORES ARTIFICIALES
888,PAPEL ALUMINIO
889,PAPELEROS Y BASUREROS
890,WOK Y SARTENES
891,ACCESORIOS REPOSTERÍA
892,TERMOS
893,TERMO DE AGUA
894,TABLAS DE PLANCHAR
895,CINTAS Y LISTONES
896,ASADERAS Y FUENTES HORNO
897,OLLAS
898,CHISPEROS
899,DISPENSADORES
900,CENTROS DE MESA
901,JARRONES
902,MOLDES ANTIADHERENTES
903,CUADROS Y MARCOS FOTOGRAFÍAS
904,COLADORES Y CENTRÍFUGAS
905,LECHEROS
906,BOLSAS REUTILIZABLES
907,MANGAS PASTELERAS
908,ORGANIZADORES
909,TABLAS DE CORTAR
910,TETERAS Y CAFETERAS
911,CAJAS ORGANIZADORAS
912,PIEZAS PARA SERVIR
913,PORTAVELAS
914,FUNDAS DE COJÍN
915,FRASCOS Y ESPECIEROS
916,SECAPLATOS
917,SET DE AGUJAS
918,BOMBILLAS MATE
919,FLOREROS
920,DELANTALES Y PECHERAS
921,PAPEL CREPÉ
922,ACCESORIOS DE MESA
923,COPONES
924,AZUCAREROS Y LECHEROS
925,CUADROS DECORATIVOS
926,JABONERAS Y DISPENSADORES
927,ALFOMBRAS
928,HILOS
929,CANISTERS Y CONTENEDORES
930,ACCESORIOS MANUALIDADES
931,TAPONES
932,PORTARRETRATOS
933,ALFILERES DE GANCHO
934,COSTUREROS
935,ACCESORIOS DE PARRILLA
936,CUBIERTOS DESECHABLES - CUBIERTOS DESECHABLES
937,ALMOHADAS PLUMA
938,TENDEDEROS DE ROPA
939,AROMATIZANTES DE AMBIENTES
940,INCIENSOS Y PORTA INCIENSOS
941,ACEITES ESENCIALES
942,TENDEDEROS
943,DIFUSORES
944,TINTAS
945,SECADORES DE PELO
946,ASPIRADORAS DE ARRASTRE
947,AUDÍFONOS
948,CARGADORES Y CABLES
